cl60_1	Escherichia_coli_Shigella	Escherichia_coli-KX11;Escherichia_coli-KX42	1;1	2;2	0.5;0.5	Uncertain;Uncertain
cl60_520	Escherichia_coli_Shigella	Escherichia_coli-KX22	146	307	0.47557	Confident
cl60_523	Escherichia_coli_Shigella	K47	25	33	0.757576	Confident
cl60_526	Escherichia_coli_Shigella	O170	12	12	1.0	Highly confident
cl60_527	Escherichia_coli_Shigella	Escherichia_coli-KX42	1	1	1.0	Highly confident
cl60_528	Escherichia_coli_Shigella	O45	12	15	0.8	Confident
cl60_53	Escherichia_coli_Shigella	O154	9	16	0.5625	Confident
cl60_533	Escherichia_coli_Shigella	O16	13	13	1.0	Highly confident
cl60_536	Escherichia_coli_Shigella	O1	2	3	0.666667	Uncertain
cl60_537	Escherichia_coli_Shigella	Escherichia_coli-KX42	37	43	0.860465	Confident
cl60_54	Escherichia_coli_Shigella	O153/O178	62	67	0.925373	Highly confident
cl60_541	Escherichia_coli_Shigella	O61	15	18	0.833333	Confident
cl60_542	Escherichia_coli_Shigella	O8/O9/O9a	122	127	0.96063	Highly confident
cl60_544	Escherichia_coli_Shigella	Escherichia_coli-KX29	3	4	0.75	Uncertain
cl60_546	Escherichia_coli_Shigella	K9	1	1	1.0	Highly confident
cl60_547	Escherichia_coli_Shigella	O71	10	10	1.0	Highly confident
cl60_549	Escherichia_coli_Shigella	O29	7	7	1.0	Highly confident
cl60_550	Escherichia_coli_Shigella	K46	4	4	1.0	Highly confident
cl60_553	Escherichia_coli_Shigella	O139	7	7	1.0	Highly confident
cl60_554	Escherichia_coli_Shigella	Escherichia_coli-KX28	2	6	0.333333	Uncertain
cl60_556	Escherichia_coli_Shigella	O169/O183	10	11	0.909091	Highly confident
cl60_559	Escherichia_coli_Shigella	O2/O50	38	38	1.0	Highly confident
cl60_562	Escherichia_coli_Shigella	O108	30	30	1.0	Highly confident
cl60_563	Escherichia_coli_Shigella	O88	13	14	0.928571	Highly confident
cl60_564	Escherichia_coli_Shigella	O169/O183	9	9	1.0	Highly confident
cl60_57	Escherichia_coli_Shigella	O76	3	3	1.0	Highly confident
cl60_571	Escherichia_coli_Shigella	O83	41	76	0.539474	Confident
