cl60_0	Klebsiella	K62	49	100	0.49	Confident
cl60_10	Klebsiella	K102	2	2	1.0	Highly confident
cl60_1000	Klebsiella	O4	1	1	1.0	Highly confident
cl60_1004	Klebsiella	K64	1	1	1.0	Highly confident
cl60_101	Klebsiella	K64	1	1	1.0	Highly confident
cl60_1017	Klebsiella	K72	3	3	1.0	Highly confident
cl60_1019	Klebsiella	K153	1	1	1.0	Highly confident
cl60_1022	Klebsiella	K61	1	1	1.0	Highly confident
cl60_1023	Klebsiella	K81	1	1	1.0	Highly confident
cl60_1027	Klebsiella	O2a	2	2	1.0	Highly confident
cl60_1029	Klebsiella	K177	1	1	1.0	Highly confident
cl60_1034	Klebsiella	K110	1	1	1.0	Highly confident
cl60_1050	Klebsiella	K2	2	4	0.5	Uncertain
cl60_1051	Klebsiella	K168;K186	1;1	2;2	0.5;0.5	Uncertain;Uncertain
cl60_1054	Klebsiella	K177	1	1	1.0	Highly confident
cl60_1059	Klebsiella	K169	2	2	1.0	Highly confident
cl60_1064	Klebsiella	K105	1	1	1.0	Highly confident
cl60_1065	Klebsiella	K3	1	1	1.0	Highly confident
cl60_1068	Klebsiella	O2a	1	1	1.0	Highly confident
cl60_1073	Klebsiella	K25	15	25	0.6	Confident
cl60_1075	Klebsiella	K177	1	1	1.0	Highly confident
cl60_108	Klebsiella	K3	30	41	0.731707	Confident
cl60_1080	Klebsiella	K25	54	105	0.514286	Confident
cl60_1081	Klebsiella	K45	1	1	1.0	Highly confident
cl60_1083	Klebsiella	K64	1	1	1.0	Highly confident
cl60_1086	Klebsiella	O2afg	1	1	1.0	Highly confident
cl60_1089	Klebsiella	O1	1	1	1.0	Highly confident
cl60_1091	Klebsiella	K109	1	1	1.0	Highly confident
cl60_1093	Klebsiella	K42	2	3	0.666667	Uncertain
cl60_1095	Klebsiella	K110	1	1	1.0	Highly confident
cl60_1096	Klebsiella	K15	8	9	0.888889	Confident
cl60_11	Klebsiella	K126	23	47	0.489362	Confident
cl60_1102	Klebsiella	K64	1	1	1.0	Highly confident
cl60_1103	Klebsiella	O3/O3a	2	2	1.0	Highly confident
cl60_1104	Klebsiella	O3/O3a	1	1	1.0	Highly confident
cl60_1105	Klebsiella	K9	21	35	0.6	Confident
cl60_1106	Klebsiella	K47	1	4	0.25	Uncertain
cl60_1108	Klebsiella	K15	58	75	0.773333	Confident
cl60_111	Klebsiella	K34	23	84	0.27381	Confident
cl60_1112	Klebsiella	K34	7	8	0.875	Confident
cl60_1113	Klebsiella	O3/O3a	2	3	0.666667	Uncertain
cl60_1119	Klebsiella	K180	1	1	1.0	Highly confident
cl60_112	Klebsiella	K115	13	27	0.481481	Confident
cl60_1120	Klebsiella	K62	1	1	1.0	Highly confident
cl60_1121	Klebsiella	K45	10	13	0.769231	Confident
cl60_1122	Klebsiella	K45	4	4	1.0	Highly confident
cl60_1126	Klebsiella	K81	7	8	0.875	Confident
cl60_1127	Klebsiella	O3/O3a	2	2	1.0	Highly confident
cl60_1128	Klebsiella	K3	8	8	1.0	Highly confident
cl60_1129	Klebsiella	O101	2	2	1.0	Highly confident
cl60_1130	Klebsiella	K117;K3	1;1	2;2	0.5;0.5	Uncertain;Uncertain
